"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","potassium_sulphate","alcohol","quality"
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
7.2,0.19,0.31,1.4,0.046,37,135,0.9939,3.34,0.57,10.2,7
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6
6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,6
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5
8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,6
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7
6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,7
6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5
7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5
6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5
8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5
6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
7.5,0.27,0.79,11.95,0.04,51,159,0.99839,2.98,0.44,8.7,5
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6
7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,5
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,5
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7
7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,7
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6
6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,6
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
6.4,0.44,0.44,14.4,0.048,29,228,0.99955,3.26,0.54,8.8,7
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
7.6,0.39,0.32,3.6,0.035,22,93,0.99144,3.08,0.6,12.5,7
6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6
7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,5
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5
6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,6
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
6.5,0.22,0.29,7.4,0.028,16,87,0.99311,3.15,0.56,10.9,7
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,6
5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6
5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
5.9,0.32,0.33,2.1,0.027,35,138,0.98945,3.37,0.42,12.7,6
5.7,0.37,0.3,1.1,0.029,24,88,0.98883,3.18,0.39,11.7,6
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7
8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6
7,0.31,0.39,7.5,0.055,42,218,0.99652,3.37,0.54,10.3,5
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,5
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,8
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5
6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5
8.1,0.12,0.38,0.9,0.034,36,86,0.99026,2.8,0.55,12,6
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
7.7,0.11,0.34,14.05,0.04,41,114,0.99634,3.07,0.59,11,7
6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,5
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7
